source_id,source_title,source_version,c,min_orbit,A,r,normalization
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,1,1,2,1,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,5,1,3,1,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,5,19,5,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,5,23,5,3,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,7,5,4,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,11,1,6,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,11,13,14,8,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,1,4,1,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,211,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,227,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,251,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,259,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,283,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,287,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,13,319,8,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,17,1,7,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,19,5,11,5,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,23,5,5,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,23,7,5,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,25,7,16,8,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,25,17,8,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,29,1,5,1,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,29,11,17,9,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,31,13,23,12,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,35,13,8,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,35,17,8,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
