c,r,A,orbit,valuations,min_orbit,primitive_period,essential
1,1,2,[1],[2],1,1,True
5,1,3,[1],[3],1,1,True
5,3,5,"[19,31,49]","[1,1,3]",19,3,True
5,3,5,"[23,37,29]","[1,2,2]",23,3,True
7,2,4,"[5,11]","[1,3]",5,2,True
11,2,6,"[1,7]","[1,5]",1,2,True
11,8,14,"[13,25,43,35,29,49,79,31]","[1,1,2,2,1,1,3,3]",13,8,True
13,1,4,[1],[4],1,1,True
13,5,8,"[211,323,491,743,1121]","[1,1,1,1,4]",211,5,True
13,5,8,"[227,347,527,797,601]","[1,1,1,2,3]",227,5,True
13,5,8,"[251,383,581,439,665]","[1,1,2,1,3]",251,5,True
13,5,8,"[259,395,599,905,341]","[1,1,1,3,2]",259,5,True
13,5,8,"[283,431,653,493,373]","[1,1,2,2,2]",283,5,True
13,5,8,"[287,437,331,503,761]","[1,2,1,1,3]",287,5,True
13,5,8,"[319,485,367,557,421]","[1,2,1,2,2]",319,5,True
17,2,7,"[1,5]","[2,5]",1,2,True
19,5,11,"[5,17,35,31,7]","[1,1,2,4,3]",5,5,True
23,2,5,"[5,19]","[1,4]",5,2,True
23,2,5,"[7,11]","[2,3]",7,2,True
25,4,8,"[17,19,41,37]","[2,1,2,3]",17,4,True
25,8,16,"[7,23,47,83,137,109,11,29]","[1,1,1,1,2,5,1,4]",7,8,True
29,1,5,[1],[5],1,1,True
29,9,17,"[11,31,61,53,47,85,71,121,49]","[1,1,2,2,1,2,1,3,4]",11,9,True
31,12,23,"[13,35,17,41,77,131,53,95,79,67,29,59]","[1,3,1,1,1,3,1,2,2,3,1,4]",13,12,True
35,4,8,"[13,37,73,127]","[1,1,1,5]",13,4,True
35,4,8,"[17,43,41,79]","[1,2,1,4]",17,4,True
37,3,6,"[19,47,89]","[1,1,4]",19,3,True
37,3,6,"[23,53,49]","[1,2,3]",23,3,True
37,3,6,"[29,31,65]","[2,1,3]",29,3,True
41,8,20,"[1,11,37,19,49,47,91,157]","[2,1,3,1,2,1,1,9]",1,8,True
43,3,11,"[1,23,7]","[1,4,6]",1,3,True
47,4,7,"[65,121,205,331]","[1,1,1,4]",65,4,True
47,4,7,"[73,133,223,179]","[1,1,2,3]",73,4,True
47,4,7,"[85,151,125,211]","[1,2,1,3]",85,4,True
47,4,7,"[89,157,259,103]","[1,1,3,2]",89,4,True
47,4,7,"[101,175,143,119]","[1,2,2,2]",101,4,True
47,7,18,"[5,31,35,19,13,43,11]","[1,2,3,3,1,4,4]",5,7,True
55,2,6,"[7,19]","[2,4]",7,2,True
55,4,12,"[1,29,71,67]","[1,1,2,8]",1,4,True
59,6,10,"[133,229,373,589,913,1399]","[1,1,1,1,1,5]",133,6,True
59,6,10,"[149,253,409,643,497,775]","[1,1,1,2,1,4]",149,6,True
59,6,10,"[181,301,481,751,289,463]","[1,1,1,3,1,3]",181,6,True
59,6,10,"[185,307,245,397,625,967]","[1,2,1,1,1,4]",185,6,True
59,6,10,"[217,355,281,451,353,559]","[1,2,1,2,1,3]",217,6,True
59,6,10,"[221,361,571,443,347,275]","[1,1,2,2,2,2]",221,6,True
59,11,28,"[1,31,19,29,73,139,119,13,49,103,23]","[1,3,2,1,1,2,5,1,1,4,7]",1,11,True
61,1,6,[1],[6],1,1,True
65,12,24,"[19,61,31,79,151,259,421,83,157,67,133,29]","[1,3,1,1,1,1,4,1,3,1,4,3]",19,12,True
71,5,10,"[29,79,77,151,131]","[1,2,1,2,4]",29,5,True
71,5,10,"[31,41,97,181,307]","[2,1,1,1,5]",31,5,True
73,4,12,"[5,11,53,29]","[3,1,3,5]",5,4,True
73,8,15,"[47,107,197,83,161,139,245,101]","[1,1,3,1,2,1,3,3]",47,8,True
83,7,12,"[109,205,349,565,889,1375,263]","[1,1,1,1,1,4,3]",109,7,True
