r,A,c_max,record_count,prune_record_count,leaf_record_count,retained_cycle_count
1,2,9997,1,0,1,1
1,3,9997,1,0,1,1
1,4,9997,1,0,1,1
1,5,9997,1,0,1,1
1,6,9997,1,0,1,1
1,7,9997,1,0,1,1
1,8,9997,1,0,1,1
1,9,9997,1,0,1,1
1,10,9997,1,0,1,1
1,11,9997,1,0,1,1
1,12,9997,1,0,1,1
1,13,9997,1,0,1,1
1,14,9997,1,1,0,0
1,15,9997,1,1,0,0
1,16,9997,1,1,0,0
1,17,9997,1,1,0,0
1,18,9997,1,1,0,0
1,19,9997,1,1,0,0
1,20,9997,1,1,0,0
1,21,9997,1,1,0,0
1,22,9997,1,1,0,0
1,23,9997,1,1,0,0
1,24,9997,1,1,0,0
1,25,9997,1,1,0,0
1,26,9997,1,1,0,0
1,27,9997,1,1,0,0
1,28,9997,1,1,0,0
1,29,9997,1,1,0,0
1,30,9997,1,1,0,0
2,4,9997,3,0,3,1
2,5,9997,4,0,4,2
2,6,9997,5,0,5,2
2,7,9997,6,0,6,3
2,8,9997,7,0,7,3
2,9,9997,8,0,8,4
2,10,9997,9,0,9,4
2,11,9997,10,0,10,5
2,12,9997,11,0,11,5
2,13,9997,12,0,12,6
2,14,9997,13,8,5,2
2,15,9997,1,1,0,0
2,16,9997,15,8,7,3
2,17,9997,1,1,0,0
2,18,9997,17,16,1,0
2,19,9997,1,1,0,0
2,20,9997,19,18,1,0
2,21,9997,1,1,0,0
2,22,9997,21,20,1,0
2,23,9997,1,1,0,0
2,24,9997,23,22,1,0
2,25,9997,1,1,0,0
2,26,9997,25,24,1,0
2,27,9997,1,1,0,0
2,28,9997,1,1,0,0
2,29,9997,1,1,0,0
2,30,9997,1,1,0,0
3,5,9997,6,0,6,2
3,6,9997,10,0,10,3
3,7,9997,15,0,15,5
3,8,9997,21,0,21,7
3,9,9997,28,0,28,9
3,10,9997,36,0,36,12
3,11,9997,45,0,45,15
3,12,9997,55,0,55,18
3,13,9997,66,0,66,22
3,14,9997,56,50,6,2
3,15,9997,45,41,4,1
3,16,9997,40,37,3,1
3,17,9997,1,1,0,0
3,18,9997,26,25,1,0
3,19,9997,1,1,0,0
3,20,9997,1,1,0,0
3,21,9997,31,30,1,0
3,22,9997,1,1,0,0
3,23,9997,1,1,0,0
3,24,9997,36,35,1,0
3,25,9997,1,1,0,0
3,26,9997,1,1,0,0
3,27,9997,41,40,1,0
3,28,9997,1,1,0,0
3,29,9997,1,1,0,0
3,30,9997,46,45,1,0
4,7,9997,20,0,20,5
4,8,9997,35,0,35,8
4,9,9997,56,0,56,14
4,10,9997,84,0,84,20
4,11,9997,120,0,120,30
4,12,9997,165,0,165,40
4,13,9997,220,0,220,55
4,14,9997,230,160,70,16
4,15,9997,1,1,0,0
4,16,9997,379,308,71,16
4,17,9997,1,1,0,0
4,18,9997,155,147,8,0
4,19,9997,76,72,4,1
